Class,Correct,Total,Accuracy,Overall_Accuracy
0,82,100,0.82,0.858
1,99,100,0.99,0.858
2,67,100,0.67,0.858
3,76,100,0.76,0.858
4,91,100,0.91,0.858
5,96,100,0.96,0.858
6,65,100,0.65,0.858
7,94,100,0.94,0.858
8,97,100,0.97,0.858
9,91,100,0.91,0.858
