Class,Correct,Total,Accuracy,Overall_Accuracy
0,840,1000,0.84,0.8416
1,976,1000,0.976,0.8416
2,618,1000,0.618,0.8416
3,865,1000,0.865,0.8416
4,750,1000,0.75,0.8416
5,984,1000,0.984,0.8416
6,742,1000,0.742,0.8416
7,769,1000,0.769,0.8416
8,949,1000,0.949,0.8416
9,923,1000,0.923,0.8416
