Class,Correct,Total,Accuracy,Overall_Accuracy
0,106,120,0.8833333333333333,0.912
1,120,120,1.0,0.912
2,12,20,0.6,0.912
3,109,120,0.9083333333333333,0.912
4,109,120,0.9083333333333333,0.912
5,114,120,0.95,0.912
6,4,20,0.2,0.912
7,109,120,0.9083333333333333,0.912
8,116,120,0.9666666666666667,0.912
9,113,120,0.9416666666666667,0.912
