Class,Correct,Total,Accuracy,Overall_Accuracy
0,832,1000,0.832,0.8644
1,971,1000,0.971,0.8644
2,799,1000,0.799,0.8644
3,866,1000,0.866,0.8644
4,836,1000,0.836,0.8644
5,945,1000,0.945,0.8644
6,571,1000,0.571,0.8644
7,931,1000,0.931,0.8644
8,950,1000,0.95,0.8644
9,943,1000,0.943,0.8644
