Class,Correct,Total,Accuracy,Overall_Accuracy
0,160,174,0.9195402298850575,0.8694362017804155
1,131,136,0.9632352941176471,0.8694362017804155
2,23,33,0.696969696969697,0.8694362017804155
3,115,126,0.9126984126984127,0.8694362017804155
4,51,64,0.796875,0.8694362017804155
5,179,188,0.9521276595744681,0.8694362017804155
6,95,155,0.6129032258064516,0.8694362017804155
7,10,11,0.9090909090909091,0.8694362017804155
8,92,100,0.92,0.8694362017804155
9,23,24,0.9583333333333334,0.8694362017804155
